Tanggal,Condensate,Crude Geragai,Volume Total
2026-04-01,12525,5668.0,18193.0
2026-04-02,12828,6153.0,18981.0
2026-04-03,12283,5509.0,17792.0
2026-04-04,12989,5435.0,18424.0
2026-04-05,12496,5524.0,18020.0
2026-04-06,13094,5119.0,18213.0
2026-04-07,12832,5156.0,17988.0
2026-04-08,12710,5071.0,17781.0
2026-04-09,12521,5253.0,17774.0
2026-04-10,13792,4852.0,18644.0
2026-04-11,12351,5363.0,17714.0
2026-04-12,13932,5192.0,19124.0
2026-04-13,12328,6465.0,18793.0
2026-04-14,13160,5976.0,19136.0
2026-04-15,12013,6095.0,18108.0
2026-04-16,12013,6095.0,18108.0
2026-04-17,12674,5713.0,18387.0
2026-04-18,12038,6044.0,18082.0
2026-04-19,12904,5997.0,18901.0
2026-04-20,9745,5938.0,15683.0
2026-04-21,14448,5793.0,20241.0
2026-04-22,12678,5871.0,18549.0
2026-04-23,12814,6081.0,18895.0
2026-04-24,12751,5772.0,18523.0
2026-04-25,13077,5771.0,18848.0
2026-04-26,12217,6052.0,18269.0
2026-04-27,12980,5661.0,18641.0
2026-04-28,12031,5906.0,17937.0
2026-04-29,12605,5759.0,18364.0
2026-04-30,11772,6032.0,17804.0
2026-05-01,12593,5320.0,17913.0
2026-05-02,12440,5227.0,17667.0
2026-05-03,12697,5319.0,18016.0
2026-05-04,12401,5222.0,17623.0
2026-05-05,13220,4997.0,18217.0
2026-05-06,11922,5545.0,17467.0
2026-05-07,12522,5097.0,17619.0
2026-05-08,13144,5122.0,18266.0
2026-05-09,12744,5728.0,18472.0
2026-05-10,12168,5782.0,17950.0
2026-05-11,13025,5465.0,18490.0
2026-05-12,12445,5787.0,18232.0
2026-05-13,12944,5744.0,18688.0
2026-05-14,12533,6164.0,18697.0
2026-05-15,12244,5865.0,18109.0
2026-05-16,12206,5694.0,17900.0
2026-05-17,12493,5538.0,18031.0
2026-05-18,12992,5430.0,18422.0
2026-05-19,13102,5685.0,18787.0
2026-05-20,12500,5813.0,18313.0
2026-05-21,12771,5790.0,18561.0
2026-05-22,12507,5879.0,18386.0
2026-05-23,12512,5732.0,18244.0
2026-05-24,12869,5715.0,18584.0
2026-05-25,12140,5461.0,17601.0
2026-05-26,13172,5873.0,19045.0
2026-05-27,11888,5805.0,17693.0
2026-05-28,13132,5565.0,18697.0
2026-05-29,12525,5530.0,18055.0
2026-05-30,12227,5753.0,17980.0
2026-05-31,11842,5179.0,17021.0
2026-06-01,13733,5206.0,18939.0
2026-06-02,,,0.0
2026-06-03,,,0.0
2026-06-04,,,0.0
2026-06-05,,,0.0
2026-06-06,,,0.0
